no_diacritics,with_diacritics
"Chuyen tham cung danh dau viec thanh lap Trung tam Viet Nam - Australia (VAC). Duoc dat tai Hoc vien Chinh tri quoc gia Ho Chi Minh, VAC se tao dieu kien va thuc day viec chia se tri thuc giua cac the he lanh dao tiep theo cua Australia va Viet Nam, dong thoi the hien su tin cay lon vao moi quan he giua hai nuoc.","Chuyến thăm cũng đánh dấu việc thành lập Trung tâm Việt Nam - Australia (VAC). Được đặt tại Học viện Chính trị quốc gia Hồ Chí Minh, VAC sẽ tạo điều kiện và thúc đẩy việc chia sẻ tri thức giữa các thế hệ lãnh đạo tiếp theo của Australia và Việt Nam, đồng thời thể hiện sự tin cậy lớn vào mối quan hệ giữa hai nước."
"Ban choi voi duoi ho, nem da cho chet han: Di tu cung khong hoi han.","Bạn chới với dưới hồ, ném đá cho chết hẳn: Đi tù cũng không hối hận."
Pham Bang Bang xinh dep khong ti vet.,Phạm Băng Băng xinh đẹp không tì vết.
Mang 600 kg tien xu di mua nha.,Mang 600 kg tiền xu đi mua nhà.
Tim thay thi the hai nan nhan vu sap cau Vom o Tuyen Quang.,Tìm thấy thi thể hai nạn nhân vụ sập cầu Vòm ở Tuyên Quang.
De xuat cap phep diem trong giu xe tam thoi tai tuyen pho cam trong giu phuong tien.,Đề xuất cấp phép điểm trông giữ xe tạm thời tại tuyến phố cấm trông giữ phương tiện.
ACB tai tro 7 ty dong xay dung truong THCS My Luong.,ACB tài trợ 7 tỷ đồng xây dựng trường THCS Mỹ Lương.
Da Nang bat tay Quang Ngai phat trien cong nghiep CNTT.,Đà Nẵng bắt tay Quảng Ngãi phát triển công nghiệp CNTT.
"Honda Revo 110 ra mat, gia 22,9 trieu.","Honda Revo 110 ra mắt, giá 22,9 triệu."
Thanh nien tu tin hoi nhap.,Thanh niên tự tin hội nhập.
Hon 99% ho dan duoc dieu tra.,Hơn 99% hộ dân được điều tra.
Pho Thu tuong Hoang Trung Hai chi dao cac bien phap thao go kho khan cho cong tac XDCB giao thong.,Phó Thủ tướng Hoàng Trung Hải chỉ đạo các biện pháp tháo gỡ khó khăn cho công tác XDCB giao thông.
Da Nang cai thien moi truong dau tu de thu hut FDI.,Đà Nẵng cải thiện môi trường đầu tư để thu hút FDI.
Ngay hoi Phap luat toan dan.,Ngày hội Pháp luật toàn dân.
'Vua ao den' Howard Webb bat ngo treo coi giai nghe.,'Vua áo đen' Howard Webb bất ngờ treo còi giải nghệ.
Hotgirl Kelly 'lot xac' voi noi y.,Hotgirl Kelly 'lột xác' với nội y.
Pho Thu tuong Nguyen Sinh Hung dang huong tai Den Hung.,Phó Thủ tướng Nguyễn Sinh Hùng dâng hương tại Đền Hùng.
Nguoi giu lua dieu mua Thai o Son La.,Người giữ lửa điệu múa Thái ở Sơn La.
"Di truoc, don dau B-52.","Đi trước, đón đầu B-52."
"Co hoi du lich Thai Lan, Singapore khi dung BankPlus.","Cơ hội du lịch Thái Lan, Singapore khi dùng BankPlus."
Pha an va trang tron nhat trong lich su.,Pha ăn vạ trắng trợn nhất trong lịch sử.
Hay danh thoi gian o mot noi xinh dep va yen binh ma ban vua tim thay.,Hãy dành thời gian ở một nơi xinh đẹp và yên bình mà bạn vừa tìm thấy.
"Giang vien lam luat su: Lo 'chan trong, chan ngoai'.","Giảng viên làm luật sư: Lo 'chân trong, chân ngoài'."
"Cuu thu tuong Abe, 67 tuoi, bi ban luc 11h30 hom nay khi phat bieu o thanh pho Nara, tinh Nara, mien tay Nhat Ban.","Cựu thủ tướng Abe, 67 tuổi, bị bắn lúc 11h30 hôm nay khi phát biểu ở thành phố Nara, tỉnh Nara, miền tây Nhật Bản."
"Nam 2022 duoc xem la nam thanh cong doi voi nhieu nong dan trong tieu o Hien Thanh boi khong chi tieu co san luong cao, gia thu mua tot hon so voi moi nam ma ho con ban duoc so luong lon tieu giong cho nguoi trong tieu o cac tinh khu vuc Tay Nguyen nhu: Kon Tum, Gia Lai, Dak Lak.","Năm 2022 được xem là năm thành công đối với nhiều nông dân trồng tiêu ở Hiền Thành bởi không chỉ tiêu có sản lượng cao, giá thu mua tốt hơn so với mọi năm mà họ còn bán được số lượng lớn tiêu giống cho người trồng tiêu ở các tỉnh khu vực Tây Nguyên như: Kon Tum, Gia Lai, Đắk Lắk."
TP. Ho Chi Minh se ban phao hoa dip mung Quoc khanh 2/9.,TP. Hồ Chí Minh sẽ bắn pháo hoa dịp mừng Quốc khánh 2/9.
Beckham da cap voi co dao boc lua.,Beckham đá cặp với cô đào bốc lửa.
Tiffany (SNSD) hat nhep lo lieu tren song truyen hinh.,Tiffany (SNSD) hát nhép lộ liễu trên sóng truyền hình.
Triet pha duong day ban le ma tuy.,Triệt phá đường dây bán lẻ ma túy.
"Vi sao dan ba me trang diem, dan ong thich noi doi?.","Vì sao đàn bà mê trang điểm, đàn ông thích nói dối?."
Cong nghiep vu tru Nga tim lai hao quang xua.,Công nghiệp vũ trụ Nga tìm lại hào quang xưa.
"""Toi se vo cung buon neu moi nguoi khong muon xem toi nua.","""Tôi sẽ vô cùng buồn nếu mọi người không muốn xem tôi nữa."
Bat dong san 24h: Rui nhieu hon may khi mua lai nha tai dinh cu.,Bất động sản 24h: Rủi nhiều hơn may khi mua lại nhà tái định cư.
"Chris Pratt da dap tat tin don sau khi chia se tren podcast ""Happy Sad Confused"". ""Toi tham chi khong biet Steven Spielberg la ai?"", Chris Pratt cham biem.","Chris Pratt đã dập tắt tin đồn sau khi chia sẻ trên podcast ""Happy Sad Confused"". ""Tôi thậm chí không biết Steven Spielberg là ai?"", Chris Pratt châm biếm."
Infiniti tung anh nong crossover co nho QX30 Concept hoan toan moi.,Infiniti tung ảnh nóng crossover cỡ nhỏ QX30 Concept hoàn toàn mới.
Y an tu hinh ten cam dau bang trom cho ban sung dien lam chet 3 nguoi.,Y án tử hình tên cầm đầu băng trộm chó bắn súng điện làm chết 3 người.
Chi Trung gay an tuong o Tao quan the nao hon 10 nam qua?.,Chí Trung gây ấn tượng ở Táo quân thế nào hơn 10 năm qua?.
Benh vien qua tai vi nang.,Bệnh viện quá tải vì nắng.
h?n Pentaxim.,h?n Pentaxim.
Cach lam muoi vung thom ngon.,Cách làm muối vừng thơm ngon.
Chuoc buc voi huong dan vien du lich.,Chuốc bực với hướng dẫn viên du lịch.
Che con ong ngot mat thom huong lua nep.,Chè con ong ngọt mật thơm hương lúa nếp.
"No bom tu che o Trung Quoc: 1 nguoi chet, 8 nguoi bi thuong.","Nổ bom tự chế ở Trung Quốc: 1 người chết, 8 người bị thương."
Phan no quan tham giau gan 3 trieu USD duoi ao ca trong biet phu.,Phẫn nộ quan tham giấu gần 3 triệu USD dưới ao cá trong biệt phủ.
"Dieu nay se co nhung san pham that su mang thuong hieu rieng cua TP, dong thoi co muc giam gia hap dan doi voi nguoi mua.","Điều này sẽ có những sản phẩm thật sự mang thương hiệu riêng của TP, đồng thời có mức giảm giá hấp dẫn đối với người mua."
"Moi day, tai phien hop Chinh phu thuong ky thang 6/2022 ngay 4/7, Bo truong GDDT Nguyen Kim Son da kien nghi Chinh phu ban hanh Nghi quyet doi voi hoc phi nam hoc 2022-2023.","Mới đây, tại phiên họp Chính phủ thường kỳ tháng 6/2022 ngày 4/7, Bộ trưởng GDĐT Nguyễn Kim Sơn đã kiến nghị Chính phủ ban hành Nghị quyết đối với học phí năm học 2022-2023."
Cho thit lon gia 50.000 dong/kg o Thu do.,Chợ thịt lợn giá 50.000 đồng/kg ở Thủ đô.
Cup FA: Liverpool gianh quyen di tiep sau chien thang te nhat truoc Stoke.,Cúp FA: Liverpool giành quyền đi tiếp sau chiến thắng tẻ nhạt trước Stoke.
"Anh che phao cong nong, tau ngam noi giua ao lang.","Ảnh chế pháo công nông, tàu ngầm nổi giữa ao làng."
Su ky la dau tien nam o ly do khien PSSI muon chia tay AFF de chuyen sang gia nhap Lien doan Bong da Dong A (EAFF). No bat nguon tu viec ho cho rang minh bi doi xu bat cong o Giai U19 Dong Nam A.,Sự kỳ lạ đầu tiên nằm ở lý do khiến PSSI muốn chia tay AFF để chuyển sang gia nhập Liên đoàn Bóng đá Đông Á (EAFF). Nó bắt nguồn từ việc họ cho rằng mình bị đối xử bất công ở Giải U19 Đông Nam Á.
Phau thuat cat bo khoi buou lon hiem gap cho benh nhi.,Phẫu thuật cắt bỏ khối bướu lớn hiếm gặp cho bệnh nhi.
"1 nguoi mat tich do bao so 7, mien Bac mua lon trong 3 ngay toi.","1 người mất tích do bão số 7, miền Bắc mưa lớn trong 3 ngày tới."
"Krong Buk (Dak Lak) huong toi phat trien nhanh, ben vung.","Krông Búk (Đắk Lắk) hướng tới phát triển nhanh, bền vững."
"Mai Suong so huu gu thoi trang ca tinh, goi cam.","Mai Sương sở hữu gu thời trang cá tính, gợi cảm."
Barcelona chuan bi doi mat voi tourmalet quyet dinh.,Barcelona chuẩn bị đối mặt với tourmalet quyết định.
"Tren thuc te, Spieth co ba danh hieu duoc DP World Tour ghi nhan nhung deu o cap major, gom Masters, US Open va The Open.","Trên thực tế, Spieth có ba danh hiệu được DP World Tour ghi nhận nhưng đều ở cấp major, gồm Masters, US Open và The Open."
LHG: Chot quyen nhan co tuc 10% va thuong co phieu 10:3.,LHG: Chốt quyền nhận cổ tức 10% và thưởng cổ phiếu 10:3.
Lam banh xoai nho xinh dem tang me yeu.,Làm bánh xoài nhỏ xinh đem tặng mẹ yêu.
My khong con thoi gian chan chu voi Trieu Tien.,Mỹ không còn thời gian chần chừ với Triều Tiên.
Can biet thu duoc lap cac thiet bi bao mat cung ve si de dam bao cuoc song cho cac con nu dai gia.,Căn biệt thự được lắp các thiết bị bảo mật cùng vệ sĩ để đảm bảo cuộc sống cho các con nữ đại gia.
6 con duong mang ten cac loai hoa tai Da Lat.,6 con đường mang tên các loài hoa tại Đà Lạt.
Co hoi cho nguoi dan nong thon tiep can voi Internet.,Cơ hội cho người dân nông thôn tiếp cận với Internet.
Paris cua 100 nam truoc.,Paris của 100 năm trước.
Tau ngam Ac-hen-ti-na mat tich khi dang tuan tra tai Dai Tay Duong.,Tàu ngầm Ác-hen-ti-na mất tích khi đang tuần tra tại Đại Tây Dương.
"+ Doi tuong 1 (3% chi tieu) la nhung thi sinh co chung chi quoc te trong thoi han 2 nam tinh den ngay 1.6.2022 dat SAT tu 1.200 diem tro len hoac ACT tu 26 diem tro len, tot nghiep THPT chuong trinh trong nuoc hoac nuoc ngoai.","+ Đối tượng 1 (3% chỉ tiêu) là những thí sinh có chứng chỉ quốc tế trong thời hạn 2 năm tính đến ngày 1.6.2022 đạt SAT từ 1.200 điểm trở lên hoặc ACT từ 26 điểm trở lên, tốt nghiệp THPT chương trình trong nước hoặc nước ngoài."
Cai gi cung len 'phay' the nay thi hong ca mot the he.,Cái gì cũng lên 'phây' thế này thì hỏng cả một thế hệ.
Bat giu 315 kg thit bo thoi tren duong ra Ha Noi tieu thu.,Bắt giữ 315 kg thịt bò thối trên đường ra Hà Nội tiêu thụ.
"Va cham xe bon, 2 nguoi nhap vien.","Va chạm xe bồn, 2 người nhập viện."
Sinh vien tinh nguyen doi nang cung thi sinh di thi.,Sinh viên tình nguyện đội nắng cùng thí sinh đi thi.
Dmitry Medvedev tu nhung goc nhin khac.,Dmitry Medvedev từ những góc nhìn khác.
Standard Chatered: nhieu uu dai cho khach hang vay truc tuyen.,Standard Chatered: nhiều ưu đãi cho khách hàng vay trực tuyến.
"‏Da dau la lan da co tuyen dau hoat dong manh me, tao dieu kien cho bui ban, te bao chet bam tru nen thuong xuyen phai doi mat voi tinh trang mun trung ca, mun dau den, lo chan long to.","‏Da dầu là làn da có tuyến dầu hoạt động mạnh mẽ, tạo điều kiện cho bụi bẩn, tế bào chết bám trụ nên thường xuyên phải đối mặt với tình trạng mụn trứng cá, mụn đầu đen, lỗ chân lông to."
Ukraine thieu vu khi de co the ban ha may bay khong nguoi lai cua Nga.,Ukraine thiếu vũ khí để có thể bắn hạ máy bay không người lái của Nga.
Ve song Thu Bon an goi ca moi.,Về sông Thu Bồn ăn gỏi cá mòi.
Co that detox dung cach se lam sach doc to toi tan te bao?.,Có thật detox đúng cách sẽ làm sạch độc tố tới tận tế bào?.
Australia gap CHDCND Trieu Tien.,Australia gặp CHDCND Triều Tiên.
Nga-My cang thang khong chi vi Snowden.,Nga-Mỹ căng thẳng không chỉ vì Snowden.
Trung Quoc: Noi lo tu giam phat va bong bong tai san.,Trung Quốc: Nỗi lo từ giảm phát và bong bóng tài sản.
"Cach lam banh mi goi sua chua thom ngon, la mieng.","Cách làm bánh mì gối sữa chua thơm ngon, lạ miệng."
"Tren cac dien dan, trang mang xa hoi, nhieu hoi, nhom bonsai hoa, cay canh ""doc"" va la xuat hien.","Trên các diễn đàn, trang mạng xã hội, nhiều hội, nhóm bonsai hoa, cây cảnh ""độc"" và lạ xuất hiện."
Tung bung dem trao giai Cu neo vang 2007.,Tưng bừng đêm trao giải Cù nèo vàng 2007.
To thich ay.,Tớ thích ấy.
Nhung khoanh khac dang yeu khien fan khong the roi mat cua Selena Gomez.,Những khoảnh khắc đáng yêu khiến fan không thể rời mắt của Selena Gomez.
Khach khong ngai chi tien mua thuc pham organic sieu sach.,Khách không ngại chi tiền mua thực phẩm organic siêu sạch.
Mexico - My: Nan vuot bien gay buc xuc cho ca hai nuoc.,Mexico - Mỹ: Nạn vượt biên gây bức xúc cho cả hai nước.
Doi ten kiem tien.,Đổi tên kiếm tiền.
"Pha solo qua 5 hau ve cua ""Messi Han Quoc"".","Pha solo qua 5 hậu vệ của ""Messi Hàn Quốc""."
Hop do ghe qua sach khien hung thu lo dien.,Hộp đồ ghề quá sạch khiến hung thủ lộ diện.
Nguon: https://tcdulichtphcm.vn/the-thao/pogba-hoan-tat-tro-lai-juventus-mien-phi-hop-dong-4-nam-xat-mu...Nguon: https://tcdulichtphcm.vn/the-thao/pogba-hoan-tat-tro-lai-juventus-mien-phi-hop-dong-4-nam-xat-muoi-noi-dau-mu-c28a34042.html,Nguồn: https://tcdulichtphcm.vn/the-thao/pogba-hoan-tat-tro-lai-juventus-mien-phi-hop-dong-4-nam-xat-mu...Nguồn: https://tcdulichtphcm.vn/the-thao/pogba-hoan-tat-tro-lai-juventus-mien-phi-hop-dong-4-nam-xat-muoi-noi-dau-mu-c28a34042.html
Con 38 thi sinh du thi Vong Chung ket Hoa hau.,Còn 38 thí sinh dự thi Vòng Chung kết Hoa hậu.
"Vo su Thieu Lam sap dau ""Nguoi sat"" muay Thai.","Võ sư Thiếu Lâm sắp đấu ""Người sắt"" muay Thái."
"Cung trong sang 27/7, chau P.T.H.","Cũng trong sáng 27/7, cháu P.T.H."
Bac Ninh: Cau lac bo xay dung gia dinh hanh phuc o Hoan Son.,Bắc Ninh: Câu lạc bộ xây dựng gia đình hạnh phúc ở Hoàn Sơn.
Danh thang quoc gia Ruong bac thang Mu Cang Chai nam 2010.,Danh thắng quốc gia Ruộng bậc thang Mù Cang Chải năm 2010.
"Bao gio het canh nguoi lam, ke pha?.","Bao giờ hết cảnh người làm, kẻ phá?."
"DHCD can ke, Nhua Vinh Khanh (VKC) van chua cong bo ket qua kinh doanh nam 2016.","ĐHCĐ cận kề, Nhựa Vĩnh Khánh (VKC) vẫn chưa công bố kết quả kinh doanh năm 2016."
Bo Neymar lo duong cong ngoc nga.,Bồ Neymar lộ đường cong ngọc ngà.
World Cup 2010: Nhan dien cac bang dau truoc gio G.,World Cup 2010: Nhận diện các bảng đấu trước giờ G.
"Gan day, hang Garmin da cho ra doi nhung chiec dong ho GPS danh cho nguoi tham hiem co the sac bang NLMT.","Gần đây, hãng Garmin đã cho ra đời những chiếc đồng hồ GPS dành cho người thám hiểm có thể sạc bằng NLMT."
"Ngoai 3 hinh thuc tren, hien tai VETC ho tro khach hang tu dan tai nha.","Ngoài 3 hình thức trên, hiện tại VETC hỗ trợ khách hàng tự dán tại nhà."
Huyen dao Ly Son (Quang Ngai) thu hut nhieu khach du lich.,Huyện đảo Lý Sơn (Quảng Ngãi) thu hút nhiều khách du lịch.
"Can chu dong, kip thoi, dung doi tuong.","Cần chủ động, kịp thời, đúng đối tượng."
Lamborghini Aventador vo dau khi va cham lien hoan voi BMW va Mazda.,Lamborghini Aventador vỡ đầu khi va chạm liên hoàn với BMW và Mazda.
Them chung cu ve nghi an ong Arafat bi dau doc.,Thêm chứng cứ về nghi án ông Arafat bị đầu độc.
"Nhin lai nam 2013 cua ""Qua bong Vang"" Ronaldo.","Nhìn lại năm 2013 của ""Quả bóng Vàng"" Ronaldo."
"Tang gia xang, dau them 500 dong/lit.","Tăng giá xăng, dầu thêm 500 đồng/lít."
"Dac biet, mua loc da lam 118 ngoi nha bi toc mai, nhieu dien tich nong nghiep tren dia ban tinh bi anh huong.","Đặc biệt, mưa lốc đã làm 118 ngôi nhà bị tốc mái, nhiều diện tích nông nghiệp trên địa bàn tỉnh bị ảnh hưởng."
Dinh chi cong tac 2 can bo xa trong vu dan xep dau gia dat.,Đình chỉ công tác 2 cán bộ xã trong vụ dàn xếp đấu giá đất.
Cuoc dua hoi sinh.,Cuộc đua hồi sinh.
"Chu re John Tu: ""San long rua bat cho Truc Diem"".","Chú rể John Từ: ""Sẵn lòng rửa bát cho Trúc Diễm""."
Loc Ninh sau 38 nam giai phong.,Lộc Ninh sau 38 năm giải phóng.
PIT hop Dai Hoi Dong Co Dong thuong nien.,PIT họp Đại Hội Đồng Cổ Đông thường niên.
Cha con cung nhau giet nguoi roi bo tron.,Cha con cùng nhau giết người rồi bỏ trốn.
"Nhièu dòn doán, cuọc dàm phán sẽ diẽn ra ỏ mọt quóc gia gàn vói Iran trong vùng Vịnh.","Nhiều đồn đoán, cuộc đàm phán sẽ diễn ra ở một quốc gia gần với Iran trong vùng Vịnh."
"""Chan go"" Bendtner lai dong vai ""ga son"", Arsenal thang nhoc nhuoc tieu Cardiff.","""Chân gỗ"" Bendtner lại đóng vai ""gà son"", Arsenal thắng nhọc nhược tiểu Cardiff."
Truy tan goc Phenol co trong 30 tan ca nuc la do dau?.,Truy tận gốc Phenol có trong 30 tấn cá nục là do đâu?.
"Phap luat: Bat coc nguoi yeu, tong tien 3 ty.","Pháp luật: Bắt cóc người yêu, tống tiền 3 tỷ."
Le la du mon A - Au tren pho Ly Thuong Kiet.,Lê la đủ món Á - Âu trên phố Lý Thường Kiệt.
RADIO 99S chieu 13/3: Venezuela dau tranh den cung truoc sac lenh cua My.,RADIO 99S chiều 13/3: Venezuela đấu tranh đến cùng trước sắc lệnh của Mỹ.
